Season Start,Season End,Team,OPP_PTS,Salary,Salary w/ Inflation
2012,2013,Houston Rockets,102.5,73302272.0,85807014.0
2013,2014,Houston Rockets,103.1,69095315.0,82053099.0
2014,2015,Houston Rockets,100.5,72315654.0,84982206.0
2015,2016,Houston Rockets,106.4,57021755.0,64706681.0
2016,2017,Houston Rockets,109.6,48048265.0,53631389.0
2017,2018,Houston Rockets,103.9,57823063.0,63429195.0
2008,2009,Indiana Pacers,106.2,76849302.0,82588574.0
2009,2010,Indiana Pacers,103.8,87504058.0,93922804.0
2010,2011,Indiana Pacers,100.9,90956067.0,96663975.0
2011,2012,Indiana Pacers,94.4,119905532.0,125382049.0
2012,2013,Indiana Pacers,90.7,69668818.0,81553724.0
2013,2014,Indiana Pacers,92.3,66733257.0,79248074.0
2014,2015,Indiana Pacers,97.0,65088630.0,76489322.0
2015,2016,Indiana Pacers,100.5,51554083.0,58502121.0
2016,2017,Indiana Pacers,105.3,66107195.0,73788745.0
2017,2018,Indiana Pacers,104.2,67182414.0,73695967.0
2015,2016,LA Clippers,100.2,74793526.0,80379271.0
2016,2017,LA Clippers,104.4,71605233.0,76857739.0
2017,2018,LA Clippers,109.0,90279072.0,95944493.0
2008,2009,Los Angeles Clippers,103.9,95271736.0,99623136.0
2009,2010,Los Angeles Clippers,102.1,62764206.0,73471242.0
2010,2011,Los Angeles Clippers,101.8,61616409.0,73171636.0
2011,2012,Los Angeles Clippers,95.0,53225329.0,62548088.0
2012,2013,Los Angeles Clippers,94.6,67333389.0,76408033.0
2013,2014,Los Angeles Clippers,101.0,69152721.0,77188154.0
2014,2015,Los Angeles Clippers,100.1,73049774.0,80132187.0
2008,2009,Los Angeles Lakers,99.3,85259447.0,91626808.0
2009,2010,Los Angeles Lakers,97.0,97019321.0,104136046.0
2010,2011,Los Angeles Lakers,95.4,114756766.0,121958281.0
2011,2012,Los Angeles Lakers,95.9,119093010.0,124532419.0
2012,2013,Los Angeles Lakers,101.0,78245793.0,91593858.0
2013,2014,Los Angeles Lakers,109.2,91378064.0,108514646.0
2014,2015,Los Angeles Lakers,105.3,91428140.0,107442371.0
2015,2016,Los Angeles Lakers,106.9,88264478.0,100160046.0
2016,2017,Los Angeles Lakers,111.5,100131988.0,111767168.0
2017,2018,Los Angeles Lakers,109.6,77423614.0,84930083.0
2008,2009,Memphis Grizzlies,99.3,77546500.0,83337839.0
2009,2010,Memphis Grizzlies,104.0,72694352.0,78026750.0
2010,2011,Memphis Grizzlies,97.6,94781848.0,100729840.0
2011,2012,Memphis Grizzlies,93.0,103126557.0,107836717.0
2012,2013,Memphis Grizzlies,89.3,55958148.0,65504128.0
2013,2014,Memphis Grizzlies,94.6,57287474.0,68030871.0
2014,2015,Memphis Grizzlies,95.1,70241344.0,82544566.0
2015,2016,Memphis Grizzlies,101.3,70628007.0,80146672.0
2016,2017,Memphis Grizzlies,100.0,63054115.0,70380900.0
2017,2018,Memphis Grizzlies,105.5,71992885.0,78972831.0
2008,2009,Miami Heat,98.0,75158730.0,80771746.0
2009,2010,Miami Heat,94.2,83223881.0,89328654.0
2010,2011,Miami Heat,94.6,110083520.0,116991763.0
2011,2012,Miami Heat,92.5,110700149.0,115756221.0
2012,2013,Miami Heat,95.0,70297059.0,82289138.0
2013,2014,Miami Heat,97.4,74208013.0,88124608.0
2014,2015,Miami Heat,97.3,66205855.0,77802235.0
2015,2016,Miami Heat,98.4,75469639.0,85640823.0
2016,2017,Miami Heat,102.1,80427933.0,89773532.0
2017,2018,Miami Heat,102.9,80841617.0,88679476.0
2008,2009,Milwaukee Bucks,100.4,75813041.0,81474926.0
2009,2010,Milwaukee Bucks,96.0,85764781.0,92055943.0
