Season_Start,Season End,Team,Team_ID,TEAM_PTS,OPP_PTS,Salary,Salary w/ Inflation
2011,2012,Golden State Warriors,GSW,97.8,101.2,119773191,125243666
2012,2013,Golden State Warriors,GSW,101.2,100.3,67416431,78917097
2013,2014,Golden State Warriors,GSW,104.3,99.5,65352372,77608224
2014,2015,Golden State Warriors,GSW,110,99.9,68415336,80398723
2015,2016,Golden State Warriors,GSW,114.9,104.1,61576901,69875734
2016,2017,Golden State Warriors,GSW,115.9,104.3,70036985,78175171
2017,2018,Golden State Warriors,GSW,113.5,107.5,72503122,79532534
2008,2009,Houston Rockets,HOU,98.4,94.4,73611166,79108608
2009,2010,Houston Rockets,HOU,102.4,102.7,93669566,100540577
2010,2011,Houston Rockets,HOU,105.9,103.7,101584835,107959743
2011,2012,Houston Rockets,HOU,98.1,97.9,137610134,143895289
2012,2013,Houston Rockets,HOU,106,102.5,73302272,85807014
2013,2014,Houston Rockets,HOU,107.7,103.1,69095315,82053099
2014,2015,Houston Rockets,HOU,103.9,100.5,72315654,84982206
2015,2016,Houston Rockets,HOU,106.5,106.4,57021755,64706681
2016,2017,Houston Rockets,HOU,115.3,109.6,48048265,53631389
2017,2018,Houston Rockets,HOU,112.4,103.9,57823063,63429195
2008,2009,Indiana Pacers,IND,105.1,106.2,76849302,82588574
2009,2010,Indiana Pacers,IND,100.8,103.8,87504058,93922804
2010,2011,Indiana Pacers,IND,99.8,100.9,90956067,96663975
2011,2012,Indiana Pacers,IND,97.7,94.4,119905532,125382049
2012,2013,Indiana Pacers,IND,94.7,90.7,69668818,81553724
2013,2014,Indiana Pacers,IND,96.7,92.3,66733257,79248074
2014,2015,Indiana Pacers,IND,97.3,97,65088630,76489322
2015,2016,Indiana Pacers,IND,102.2,100.5,51554083,58502121
2016,2017,Indiana Pacers,IND,105.1,105.3,66107195,73788745
2017,2018,Indiana Pacers,IND,105.6,104.2,67182414,73695967
2015,2016,Los Angeles Clippers,LAC,104.5,100.2,74793526,80379271
2016,2017,Los Angeles Clippers,LAC,108.7,104.4,71605233,76857739
2017,2018,Los Angeles Clippers,LAC,109,109,90279072,95944493
2008,2009,Los Angeles Clippers,LAC,95.1,103.9,95271736,99623136
2009,2010,Los Angeles Clippers,LAC,95.7,102.1,62764206,73471242
2010,2011,Los Angeles Clippers,LAC,98.6,101.8,61616409,73171636
2011,2012,Los Angeles Clippers,LAC,97.5,95,53225329,62548088
2012,2013,Los Angeles Clippers,LAC,101.1,94.6,67333389,76408033
2013,2014,Los Angeles Clippers,LAC,107.9,101,69152721,77188154
2014,2015,Los Angeles Clippers,LAC,106.7,100.1,73049774,80132187
2008,2009,Los Angeles Lakers,LAL,106.9,99.3,85259447,91626808
2009,2010,Los Angeles Lakers,LAL,101.7,97,97019321,104136046
2010,2011,Los Angeles Lakers,LAL,101.5,95.4,114756766,121958281
2011,2012,Los Angeles Lakers,LAL,97.3,95.9,119093010,124532419
2012,2013,Los Angeles Lakers,LAL,102.2,101,78245793,91593858
2013,2014,Los Angeles Lakers,LAL,103,109.2,91378064,108514646
2014,2015,Los Angeles Lakers,LAL,98.5,105.3,91428140,107442371
2015,2016,Los Angeles Lakers,LAL,97.3,106.9,88264478,100160046
2016,2017,Los Angeles Lakers,LAL,104.6,111.5,100131988,111767168
2017,2018,Los Angeles Lakers,LAL,108.1,109.6,77423614,84930083
2008,2009,Memphis Grizzlies,MEM,93.9,99.3,77546500,83337839
2009,2010,Memphis Grizzlies,MEM,102.5,104,72694352,78026750
2010,2011,Memphis Grizzlies,MEM,99.9,97.6,94781848,100729840
2011,2012,Memphis Grizzlies,MEM,95,93,103126557,107836717
2012,2013,Memphis Grizzlies,MEM,93.4,89.3,55958148,65504128
2013,2014,Memphis Grizzlies,MEM,96.1,94.6,57287474,68030871
2014,2015,Memphis Grizzlies,MEM,98.3,95.1,70241344,82544566
2015,2016,Memphis Grizzlies,MEM,99.1,101.3,70628007,80146672
2016,2017,Memphis Grizzlies,MEM,100.5,100,63054115,70380900
2017,2018,Memphis Grizzlies,MEM,99.3,105.5,71992885,78972831
2008,2009,Miami Heat,MIA,98.3,98,75158730,80771746
2009,2010,Miami Heat,MIA,96.5,94.2,83223881,89328654
2010,2011,Miami Heat,MIA,102.1,94.6,110083520,116991763
2011,2012,Miami Heat,MIA,98.5,92.5,110700149,115756221
2012,2013,Miami Heat,MIA,102.9,95,70297059,82289138
2013,2014,Miami Heat,MIA,102.2,97.4,74208013,88124608
2014,2015,Miami Heat,MIA,94.7,97.3,66205855,77802235
2015,2016,Miami Heat,MIA,100,98.4,75469639,85640823
2016,2017,Miami Heat,MIA,103.2,102.1,80427933,89773532
2017,2018,Miami Heat,MIA,103.4,102.9,80841617,88679476
2008,2009,Milwaukee Bucks,MIL,99.3,100.4,75813041,81474926
2009,2010,Milwaukee Bucks,MIL,97.7,96,85764781,92055943
2010,2011,Milwaukee Bucks,MIL,91.9,92.7,100740770,107062710
2011,2012,Milwaukee Bucks,MIL,99,98.7,133624374,139727484
2012,2013,Milwaukee Bucks,MIL,98.9,100.4,71360656,83534178
2013,2014,Milwaukee Bucks,MIL,95.5,103.7,66775602,79298360
2014,2015,Milwaukee Bucks,MIL,97.8,97.4,69076690,81175915
2015,2016,Milwaukee Bucks,MIL,99,103.2,60192388,68304625
2016,2017,Milwaukee Bucks,MIL,103.6,103.8,62410041,69661986
2017,2018,Milwaukee Bucks,MIL,106.5,106.8,54400846,59675181
2008,2009,Minnesota Timberwolves,MIN,97.8,102.7,54473275,58541453
2009,2010,Minnesota Timberwolves,MIN,98.2,107.8,73843541,79260236
2010,2011,Minnesota Timberwolves,MIN,101.1,107.7,96245877,102285744
2011,2012,Minnesota Timberwolves,MIN,97.9,100.1,120521249,126025887
2012,2013,Minnesota Timberwolves,MIN,95.7,98.1,66445144,77780119
2013,2014,Minnesota Timberwolves,MIN,106.9,104.3,62253360,73928037
2014,2015,Minnesota Timberwolves,MIN,97.8,106.5,53461123,62825180
2015,2016,Minnesota Timberwolves,MIN,102.4,106,56844339,64505355
