Season Start,Season End,Team,player_height,Salary,Salary w/ Inflation
2010,2011,Golden State Warriors,2804.8400000000006,68415336.0,80398723.0
2011,2012,Golden State Warriors,3456.94,61576901.0,69875734.0
2012,2013,Golden State Warriors,2814.3199999999997,70036985.0,78175171.0
2013,2014,Golden State Warriors,2829.5600000000004,72503122.0,79532534.0
2014,2015,Golden State Warriors,3037.84,73611166.0,79108608.0
2015,2016,Golden State Warriors,3027.68,93669566.0,100540577.0
2016,2017,Golden State Warriors,3253.74,101584835.0,107959743.0
2017,2018,Golden State Warriors,3454.3999999999996,137610134.0,143895289.0
2008,2009,Houston Rockets,3035.3,73302272.0,85807014.0
2009,2010,Houston Rockets,3202.9399999999996,69095315.0,82053099.0
2010,2011,Houston Rockets,3050.54,72315654.0,84982206.0
2011,2012,Houston Rockets,2969.600000000001,57021755.0,64706681.0
2012,2013,Houston Rockets,2816.8599999999997,48048265.0,53631389.0
2013,2014,Houston Rockets,3223.26,57823063.0,63429195.0
2014,2015,Houston Rockets,3411.5600000000004,76849302.0,82588574.0
2015,2016,Houston Rockets,3027.6800000000003,87504058.0,93922804.0
2016,2017,Houston Rockets,2994.6600000000003,90956067.0,96663975.0
2017,2018,Houston Rockets,3797.2999999999993,119905532.0,125382049.0
2008,2009,Indiana Pacers,2832.1,69668818.0,81553724.0
2009,2010,Indiana Pacers,2814.3199999999997,66733257.0,79248074.0
2010,2011,Indiana Pacers,3012.44,65088630.0,76489322.0
2011,2012,Indiana Pacers,3017.5200000000004,51554083.0,58502121.0
2012,2013,Indiana Pacers,3223.26,66107195.0,73788745.0
2013,2014,Indiana Pacers,3035.2999999999993,67182414.0,73695967.0
2014,2015,Indiana Pacers,3037.84,74793526.0,80379271.0
2015,2016,Indiana Pacers,3002.2799999999997,71605233.0,76857739.0
2016,2017,Indiana Pacers,3187.6999999999994,90279072.0,95944493.0
2017,2018,Indiana Pacers,3810.0,95271736.0,99623136.0
2008,2009,Los Angeles Clippers,3213.1000000000004,62764206.0,73471242.0
2009,2010,Los Angeles Clippers,3200.4,61616409.0,73171636.0
2010,2011,Los Angeles Clippers,2801.62,53225329.0,62548088.0
2011,2012,Los Angeles Clippers,2966.7200000000003,67333389.0,76408033.0
2012,2013,Los Angeles Clippers,2987.04,69152721.0,77188154.0
2013,2014,Los Angeles Clippers,3594.0999999999995,73049774.0,80132187.0
2014,2015,Los Angeles Clippers,3589.0199999999995,85259447.0,91626808.0
2015,2016,Los Angeles Clippers,3192.78,97019321.0,104136046.0
2016,2017,Los Angeles Clippers,3002.2800000000007,114756766.0,121958281.0
2017,2018,Los Angeles Clippers,3792.2200000000003,119093010.0,124532419.0
2008,2009,Los Angeles Lakers,3047.999999999999,78245793.0,91593858.0
2009,2010,Los Angeles Lakers,2626.36,91378064.0,108514646.0
2010,2011,Los Angeles Lakers,3030.2200000000003,91428140.0,107442371.0
2011,2012,Los Angeles Lakers,3027.6800000000003,88264478.0,100160046.0
2012,2013,Los Angeles Lakers,3195.3199999999997,100131988.0,111767168.0
2013,2014,Los Angeles Lakers,3616.9599999999996,77423614.0,84930083.0
2014,2015,Los Angeles Lakers,3606.7999999999997,77546500.0,83337839.0
2015,2016,Los Angeles Lakers,3030.22,72694352.0,78026750.0
2016,2017,Los Angeles Lakers,3241.0400000000004,94781848.0,100729840.0
2017,2018,Los Angeles Lakers,4023.3599999999997,103126557.0,107836717.0
2008,2009,Memphis Grizzlies,2438.4000000000005,55958148.0,65504128.0
2009,2010,Memphis Grizzlies,3241.0400000000004,57287474.0,68030871.0
2010,2011,Memphis Grizzlies,3190.24,70241344.0,82544566.0
2011,2012,Memphis Grizzlies,3192.78,70628007.0,80146672.0
2012,2013,Memphis Grizzlies,3213.1,63054115.0,70380900.0
2013,2014,Memphis Grizzlies,3215.64,71992885.0,78972831.0
2014,2015,Memphis Grizzlies,3586.9,75158730.0,80771746.0
2015,2016,Memphis Grizzlies,4183.38,83223881.0,89328654.0
2016,2017,Memphis Grizzlies,3205.480000000001,110083520.0,116991763.0
2017,2018,Memphis Grizzlies,4196.080000000001,110700149.0,115756221.0
2008,2009,Miami Heat,3014.98,70297059.0,82289138.0
2009,2010,Miami Heat,3004.82,74208013.0,88124608.0
2010,2011,Miami Heat,3241.04,66205855.0,77802235.0
2011,2012,Miami Heat,3032.7599999999993,75469639.0,85640823.0
2012,2013,Miami Heat,3233.420000000001,80427933.0,89773532.0
2013,2014,Miami Heat,3421.38,80841617.0,88679476.0
2014,2015,Miami Heat,3385.8199999999997,75813041.0,81474926.0
2015,2016,Miami Heat,3002.2799999999997,85764781.0,92055943.0
2016,2017,Miami Heat,2811.78,100740770.0,107062710.0
2017,2018,Miami Heat,3589.019999999999,133624374.0,139727484.0
2008,2009,Milwaukee Bucks,2999.7400000000002,71360656.0,83534178.0
2009,2010,Milwaukee Bucks,3208.0199999999995,66775602.0,79298360.0
2010,2011,Milwaukee Bucks,2984.5,69076690.0,81175915.0
2011,2012,Milwaukee Bucks,3235.96,60192388.0,68304625.0
2012,2013,Milwaukee Bucks,3040.380000000001,62410041.0,69661986.0
2013,2014,Milwaukee Bucks,3238.84,54400846.0,59675181.0
2014,2015,Milwaukee Bucks,3629.6599999999994,54473275.0,58541453.0
2015,2016,Milwaukee Bucks,3243.5800000000004,73843541.0,79260236.0
2016,2017,Milwaukee Bucks,3464.56,96245877.0,102285744.0
2017,2018,Milwaukee Bucks,3820.16,120521249.0,126025887.0
2008,2009,Minnesota Timberwolves,3007.3599999999997,66445144.0,77780119.0
2009,2010,Minnesota Timberwolves,3037.840000000001,62253360.0,73928037.0
2010,2011,Minnesota Timberwolves,2799.08,53461123.0,62825180.0
2011,2012,Minnesota Timberwolves,3025.1400000000003,56844339.0,64505355.0
2012,2013,Minnesota Timberwolves,3596.639999999999,64329748.0,71804760.0
2013,2014,Minnesota Timberwolves,3210.56,68564040.0,75211546.0
2014,2015,Minnesota Timberwolves,3863.3400000000006,69378954.0,74560321.0
2015,2016,Minnesota Timberwolves,2860.0400000000004,72287243.0,77589778.0
2016,2017,Minnesota Timberwolves,3014.9800000000005,83527580.0,88769315.0
2017,2018,Minnesota Timberwolves,3009.9,116075131.0,121376702.0
2008,2009,New Orleans Hornets,2842.26,67530808.0,79050989.0
2009,2010,New Orleans Hornets,2606.0399999999995,70163827.0,83321997.0
2010,2011,New Orleans Hornets,3040.379999999999,68230729.0,80181781.0
2011,2012,New Orleans Hornets,4244.34,65441008.0,74260613.0
2012,2013,New Orleans Hornets,3413.76,64134537.0,71586865.0
2013,2014,NOP,3863.34,67358651.0,73889290.0
2014,2015,NOP,3220.72,80012866.0,85988398.0
2015,2016,NOP,3779.52,83709371.0,89849758.0
2016,2017,NOP,3426.8,101616451.0,107993343.0
2017,2018,NOP,3573.7799999999997,120814452.0,126332484.0
2008,2009,New York Knicks,3459.4800000000005,96643646.0,113130233.0
2009,2010,New York Knicks,2806.7000000000003,85710076.0,101783713.0
2010,2011,New York Knicks,3002.28,67016562.0,78754945.0
2011,2012,New York Knicks,3434.08,77093212.0,87483210.0
2012,2013,New York Knicks,3657.5999999999995,79977119.0,89270334.0
2013,2014,New York Knicks,3421.3799999999997,89072787.0,97708684.0
2014,2015,New York Knicks,3228.34,81369219.0,87446049.0
2015,2016,New York Knicks,3235.959999999999,74237021.0,79682579.0
2016,2017,New York Knicks,3048.0,102593418.0,109031624.0
2017,2018,New York Knicks,3830.32,105403130.0,110217272.0
2008,2009,Oklahoma City Thunder,3218.18,68341605.0,80000097.0
2009,2010,Oklahoma City Thunder,3413.76,58578614.0,69564148.0
2010,2011,Oklahoma City Thunder,3004.8199999999997,55922488.0,65717669.0
2011,2012,Oklahoma City Thunder,3192.7799999999993,59501709.0,67520863.0
2012,2013,Oklahoma City Thunder,3032.76,68924100.0,76932970.0
2013,2014,Oklahoma City Thunder,3624.9200000000005,71653401.0,78600431.0
2014,2015,Oklahoma City Thunder,3218.1800000000007,80408520.0,86413604.0
2015,2016,Oklahoma City Thunder,3030.2200000000007,95708387.0,102728953.0
2016,2017,Oklahoma City Thunder,3022.6000000000004,91230089.0,96955191.0
2017,2018,Oklahoma City Thunder,3622.04,134534640.0,140679326.0
2008,2009,Orlando Magic,2788.9200000000005,69672979.0,81558597.0
2009,2010,Orlando Magic,2390.14,82200916.0,97616464.0
2010,2011,Orlando Magic,2397.76,90770804.0,106669901.0
2011,2012,Orlando Magic,3187.7,87955505.0,99809433.0
