Season Start,Season End,Team,GP,W,L,WIN%,Salary,Salary w/ Inflation
2008,2009,Chicago Bulls,82,41,41,0.5,68126774.0,79748621.0
2009,2010,Chicago Bulls,82,41,41,0.5,69700359.0,82771612.0
2010,2011,Chicago Bulls,82,62,20,0.7559999999999999,54538076.0,64090771.0
2011,2012,Chicago Bulls,66,50,16,0.758,69548447.0,78921621.0
2012,2013,Chicago Bulls,82,45,37,0.5489999999999999,74491280.0,83147049.0
2013,2014,Chicago Bulls,82,48,34,0.585,73336893.0,80447143.0
2014,2015,Chicago Bulls,82,50,32,0.61,67414682.0,72449358.0
2015,2016,Chicago Bulls,82,42,40,0.512,87073838.0,93461027.0
2016,2017,Chicago Bulls,82,41,41,0.5,92522306.0,98328502.0
2017,2018,Chicago Bulls,82,27,55,0.32899999999999996,90466801.0,94598740.0
2008,2009,Cleveland Cavaliers,82,66,16,0.805,91298233.0,106872938.0
2009,2010,Cleveland Cavaliers,82,61,21,0.7440000000000001,83398534.0,99038674.0
2010,2011,Cleveland Cavaliers,82,19,63,0.23199999999999998,53990021.0,63446718.0
2011,2012,Cleveland Cavaliers,66,21,45,0.318,64875599.0,73619002.0
2012,2013,Cleveland Cavaliers,82,24,58,0.293,54472190.0,60801765.0
2013,2014,Cleveland Cavaliers,82,33,49,0.402,66654061.0,73116388.0
2014,2015,Cleveland Cavaliers,82,53,29,0.6459999999999999,82592827.0,88761039.0
2015,2016,Cleveland Cavaliers,82,57,25,0.695,108300458.0,116244698.0
2016,2017,Cleveland Cavaliers,82,51,31,0.622,128522489.0,136587864.0
2017,2018,Cleveland Cavaliers,82,50,32,0.61,137722926.0,144013233.0
2008,2009,Dallas Mavericks,82,50,32,0.61,95045559.0,111259524.0
2009,2010,Dallas Mavericks,82,55,27,0.6709999999999999,88916075.0,105590950.0
2010,2011,Dallas Mavericks,82,57,25,0.695,85409890.0,100369985.0
2011,2012,Dallas Mavericks,66,36,30,0.545,77180233.0,87581958.0
2012,2013,Dallas Mavericks,82,41,41,0.5,69766571.0,77873331.0
2013,2014,Dallas Mavericks,82,49,33,0.598,75012158.0,82284830.0
2014,2015,Dallas Mavericks,82,50,32,0.61,84820225.0,91154782.0
2015,2016,Dallas Mavericks,82,42,40,0.512,75397067.0,80927720.0
2016,2017,Dallas Mavericks,82,33,49,0.402,102354966.0,108778205.0
2017,2018,Dallas Mavericks,82,24,58,0.293,85440245.0,89342606.0
2008,2009,Denver Nuggets,82,54,28,0.659,70121003.0,82083050.0
2009,2010,Denver Nuggets,82,53,29,0.6459999999999999,74935538.0,88988573.0
2010,2011,Denver Nuggets,82,50,32,0.61,68019290.0,79933307.0
2011,2012,Denver Nuggets,66,38,28,0.5760000000000001,58553173.0,66444493.0
2012,2013,Denver Nuggets,82,57,25,0.695,63444254.0,70816373.0
2013,2014,Denver Nuggets,82,36,46,0.439,65782065.0,72159850.0
2014,2015,Denver Nuggets,82,30,52,0.366,56820307.0,61063768.0
2015,2016,Denver Nuggets,82,33,49,0.402,72589023.0,77913691.0
2016,2017,Denver Nuggets,82,40,42,0.488,83836460.0,89097579.0
2017,2018,Denver Nuggets,82,46,36,0.561,107543599.0,112455503.0
2008,2009,Detroit Pistons,82,39,43,0.47600000000000003,71434174.0,83620237.0
2009,2010,Detroit Pistons,82,27,55,0.32899999999999996,60185833.0,71472780.0
2010,2011,Detroit Pistons,82,30,52,0.366,65517821.0,76993690.0
2011,2012,Detroit Pistons,66,25,41,0.379,70923605.0,80482110.0
2012,2013,Detroit Pistons,82,29,53,0.354,68807497.0,76802817.0
2013,2014,Detroit Pistons,82,29,53,0.354,62387432.0,68436097.0
2014,2015,Detroit Pistons,82,32,50,0.39,67410675.0,72445049.0
2015,2016,Detroit Pistons,82,44,38,0.537,77256014.0,82923025.0
2016,2017,Detroit Pistons,82,37,45,0.451,106492988.0,113175909.0
2017,2018,Detroit Pistons,82,39,43,0.47600000000000003,119773191.0,125243666.0
2008,2009,Golden State Warriors,82,29,53,0.354,67416431.0,78917097.0
2009,2010,Golden State Warriors,82,26,56,0.317,65352372.0,77608224.0
2010,2011,Golden State Warriors,82,36,46,0.439,68415336.0,80398723.0
2011,2012,Golden State Warriors,66,23,43,0.348,61576901.0,69875734.0
2012,2013,Golden State Warriors,82,47,35,0.573,70036985.0,78175171.0
2013,2014,Golden State Warriors,82,51,31,0.622,72503122.0,79532534.0
2014,2015,Golden State Warriors,82,67,15,0.8170000000000001,73611166.0,79108608.0
2015,2016,Golden State Warriors,82,73,9,0.89,93669566.0,100540577.0
2016,2017,Golden State Warriors,82,67,15,0.8170000000000001,101584835.0,107959743.0
2017,2018,Golden State Warriors,82,58,24,0.7070000000000001,137610134.0,143895289.0
2008,2009,Houston Rockets,82,53,29,0.6459999999999999,73302272.0,85807014.0
2009,2010,Houston Rockets,82,42,40,0.512,69095315.0,82053099.0
2010,2011,Houston Rockets,82,43,39,0.524,72315654.0,84982206.0
