Season,Team,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB
2000-01,Denver Nuggets,96.6,36.3,83.9,43.3,6.2,17.6,35.5,17.7,24,73.7,12.7
2000-01,Dallas Mavericks,100.5,37.6,81.9,45.9,6.3,16.5,38.1,18.9,23.8,79.4,10.1
2000-01,Cleveland Cavaliers,92.2,35.2,79.7,44.2,2.7,8,33.4,19,24.9,76.5,12.4
2000-01,Chicago Bulls,87.6,33.2,78.2,42.4,4,11.6,34.6,17.2,23.3,73.9,11.3
2000-01,Charlotte Hornets,91.9,34.1,79.3,43.1,4.1,12,34.6,19.5,26.2,74.5,12.6
2000-01,Boston Celtics,94.6,33.8,79.1,42.8,7.2,19.9,36.3,19.8,26.7,74,10.9
2000-01,Atlanta Hawks,91,35.1,81.3,43.1,4.1,11.4,35.7,16.8,22.1,75.9,12.5
1999-00,Atlanta Hawks,94.3,36.6,83,44.1,3.1,9.9,31.7,18,24.2,74.3,14
1999-00,Boston Celtics,99.3,37.2,83.9,44.4,5.1,15.4,33.1,19.8,26.5,74.5,13.5
1999-00,Charlotte Hornets,98.4,35.8,79.7,44.9,4.1,12.2,33.9,22.7,30,75.8,10.8
1999-00,Chicago Bulls,84.8,31.3,75.4,41.5,4.1,12.6,32.9,18.1,25.5,70.9,12.6
1999-00,Cleveland Cavaliers,97,36.3,82.1,44.2,4.2,11.2,37.3,20.2,26.9,75,12.3
1999-00,Dallas Mavericks,101.4,39,85.9,45.3,6.3,16.2,39.1,17.2,21.4,80.4,11.4
1999-00,Denver Nuggets,99,37.3,84.3,44.2,5.7,17,33.6,18.7,25.8,72.4,13.1
1999-00,Detroit Pistons,103.5,37.1,80.9,45.9,5.4,14.9,35.9,23.9,30.6,78.1,11.2
1999-00,Golden State Warriors,95.5,36.5,87.1,42,4.2,13,32.3,18.3,26.2,69.7,15.9
1999-00,Houston Rockets,99.5,36.6,81.3,45,7.1,19.8,35.8,19.2,26.2,73.3,12.3
1999-00,Indiana Pacers,101.3,37.2,81,45.9,7.1,18.1,39.2,19.9,24.5,81.1,10.3
1999-00,Los Angeles Clippers,92,35.1,82.4,42.6,5.2,15.5,33.9,16.6,22.3,74.6,11.6
1999-00,Los Angeles Lakers,100.8,38.3,83.4,45.9,4.2,12.8,32.9,20.1,28.9,69.6,13.6
1999-00,Miami Heat,94.4,36.3,78.8,46,5.4,14.7,37.1,16.4,22.3,73.6,11.2
1999-00,Milwaukee Bucks,101.2,38.7,83.3,46.5,4.8,13,36.9,19,24.2,78.6,12.4
1999-00,Minnesota Timberwolves,98.5,39.3,84.3,46.7,3,8.7,34.6,16.8,21.6,78,12.4
1999-00,New Jersey Nets,98,36.3,83.9,43.3,5.8,16.8,34.7,19.5,24.9,78.4,12.7
1999-00,New York Knicks,92.1,35.3,77.7,45.5,4.3,11.4,37.5,17.2,22,78.1,9.8
1999-00,Orlando Magic,100.1,38.6,85.5,45.2,3.6,10.6,33.8,19.2,26.1,73.5,14
1999-00,Philadelphia 76ers,94.8,36.5,82.6,44.2,2.5,7.8,32.3,19.2,27.1,70.8,14
1999-00,Phoenix Suns,98.9,37.7,82.6,45.7,5.6,15.2,36.8,17.9,23.6,75.9,12.5
1999-00,Portland Trail Blazers,97.5,36.8,78.4,47,5,13.8,36.1,18.8,24.7,76,11.8
1999-00,Sacramento Kings,105,40,88.9,45,6.5,20.2,32.2,18.5,24.6,75.4,12.9
1999-00,San Antonio Spurs,96.2,36,78,46.2,4,10.8,37.4,20.1,27,74.6,11.3
1999-00,Seattle SuperSonics,99.1,37.9,84.7,44.7,6.7,19.6,33.9,16.6,23.9,69.5,12.7
1999-00,Toronto Raptors,97.2,36.3,83.9,43.3,5.2,14.3,36.3,19.3,25.2,76.5,13.4
1999-00,Utah Jazz,96.5,36.1,77.8,46.4,4,10.4,38.5,20.3,26.2,77.3,11.4
1999-00,Vancouver Grizzlies,93.9,35.3,78.5,44.9,4,11,36.1,19.4,25.1,77.4,12.3
1999-00,Washington Wizards,96.6,36.7,81.5,45.1,4.1,10.9,37.6,19.1,25.7,74.3,13
